,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
0,AMRK,67.28,53.07,80.93,25.85,73.04k,87.26k,42.69%,-0.25%,-17.78%,1.17%,30.84%,142.59%,91.00,59.31,26.02,51.01,Financial Services
1,SHLM,,,,,,,,,,,,,,,,,
2,AAON,76.42,68.76,83.79,59.22,232.58k,172.72k,71.82%,2.31%,2.79%,20.26%,27.35%,19.47%,71.00,79.69,15.58,20.61,Industrials
3,ABGI,9.78,9.81,10.69,9.61,14.85k,50.43k,87.06%,-1.11%,0.20%,1.03%,-1.11%,-,-,9.83,-0.22,-0.21,Financial Services
4,ASPA,9.83,9.81,10.33,9.57,13.73k,22.73k,62.65%,,,,,,,,,,Financial Services
5,ABVC,3.3206,3.9017,11.6900,1.9500,222.75k,2.37M,0.37%,-8.67%,11.18%,46.12%,-29.11%,-32.07%,9.50,3.44,-1.81,-1.97,Healthcare
6,ACEV,9.95,9.95,13.50,9.80,194.97k,226.9k,46.04%,0.00%,0.20%,0.50%,0.05%,-1.87%,-,9.97,22.29,-1.04,Financial Services
7,ACMR,92.00,89.56,144.81,60.84,232.2k,292.44k,48.74%,7.74%,-6.88%,-22.33%,-21.14%,20.01%,131.17,83.83,10.15,6.57,Technology
8,ADSE,9.94,9.82,10.88,8.52,79.33k,88.69k,68.08%,,,,,,,,,,Industrials
9,ADTX,1.2087,2.0809,6.7300,0.5130,5.48M,4.96M,4.54%,-10.90%,-52.54%,-65.43%,-78.38%,-73.83%,6.00,0.55,-9.76,-6.18,Healthcare
10,LIDR,5.29,8.25,14.49,4.08,1.23M,2.42M,27.85%,-12.67%,-0.39%,-12.07%,-48.45%,-,14.67,5.19,-17.39,-11.07,Consumer Cyclical
11,AFCG,22.76,22.11,25.50,18.91,294.65k,138.05k,49.37%,10.51%,2.06%,6.84%,10.46%,-,27.79,22.61,,,Real Estate
12,AGMH,8.9146,10.2806,26.5000,2.6300,203.34k,203.27k,0.14%,-31.68%,-71.10%,-68.49%,-73.56%,-81.88%,-,2.64,-0.51,-0.66,Technology
13,ALF,3.9924,6.6289,22.5000,2.2000,305.18k,653.97k,2.53%,-6.78%,-45.68%,-67.98%,-85.05%,-,-,2.22,-4.69,-3.18,Technology
14,ALJJ,1.2298,1.3336,2.7800,0.9600,953.5k,186.94k,6.25%,53.39%,48.36%,70.75%,0.00%,72.38%,-,1.82,,-3.50,Industrials
15,ALXO,39.02,57.55,91.52,20.31,500.54k,402.59k,88.29%,-4.28%,-33.61%,-70.11%,-59.89%,-74.01%,71.50,23.14,-24.57,-16.27,Healthcare
16,AMCX,40.87,50.10,83.63,32.96,493.85k,390.27k,103.88%,-1.77%,-12.81%,-27.21%,-48.43%,-1.26%,48.51,35.86,110.65,35.88,Communication Services
17,AMCI,9.70,9.70,9.78,9.60,2.43k,29.31k,9.00%,,,,,,,,,,Financial Services
18,AMSF,55.64,59.15,67.10,50.56,121.91k,91.24k,99.12%,5.18%,0.50%,1.42%,-3.79%,0.13%,69.00,54.03,19.14,23.77,Financial Services
19,ANIP,44.48,35.76,60.23,26.10,215.52k,230.46k,75.80%,-1.48%,12.74%,39.11%,34.86%,67.45%,61.67,48.18,-4.45,-14.11,Healthcare
20,APA,27.13,21.84,31.14,14.03,8.38M,10.05M,88.77%,10.14%,4.03%,31.22%,29.03%,97.24%,34.02,27.43,,,Energy
21,APXIU,10.07,10.07,10.10,10.00,1.89k,787.48k,,,,,,,,,,,Financial Services
22,ARKO,9.52,9.61,11.40,7.32,564.05k,372.07k,60.22%,2.49%,-11.19%,-16.02%,-5.88%,10.76%,13.25,8.85,35.53,25.52,Consumer Defensive
23,ARYE,9.81,9.87,10.16,9.65,27.26k,17.18k,,,,,,,,,,,Financial Services
24,ARYD,9.95,10.25,12.38,9.73,12.04k,88.85k,96.25%,0.51%,-0.70%,-0.86%,-4.99%,-,-,9.81,-5.09,-0.16,Financial Services
25,ASV,,,,,,,,,,,,,,,,,
26,ATIF,3.6258,2.1795,5.6500,0.4210,17.89k,46.95k,0.75%,8.33%,-8.96%,-18.75%,-26.79%,-38.68%,-,3.08,,,Financial Services
27,ATRI,726.85,668.17,805.62,579.96,6.86k,4.54k,66.84%,-0.61%,-2.31%,-1.13%,12.04%,9.05%,-,701.0,8.28,8.92,Healthcare
