,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
2,9.78,9.81,10.69,9.61,14850.0,50430.0,0.8706,-0.0111,0.002,0.0103,-0.0111,0.0353,27.67,9.83,-0.22,-0.21,-0.01,1,9.75,0
5,9.95,9.95,13.5,9.8,194970.0,226900.0,0.4604,0.0,0.002,0.005,0.0005,-0.0187,27.67,9.97,22.29,-1.04,23.33,1,9.98,1
6,92.0,89.56,144.81,60.84,232200.0,292440.0,0.4874,0.0774,-0.0688,-0.2232999999999999,-0.2114,0.2001,131.17,83.83,10.15,6.57,3.58,4,83.57,0
8,1.2087,2.0809,6.73,0.513,5480000.0,4960000.0,0.0454,-0.109,-0.5254,-0.6543000000000001,-0.7837999999999999,-0.7383,6.0,0.55,-9.76,-6.18,-3.58,3,0.455,0
10,22.76,22.11,25.5,18.91,294650.0,138050.0,0.4936999999999999,0.1051,0.0206,0.0684,0.1046,0.0353,27.79,22.61,0.02,-0.23,0.25,6,20.33,0
14,39.02,57.55,91.52,20.31,500540.0,402590.0,0.8829,-0.0428,-0.3361,-0.7011,-0.5989,-0.7401000000000001,71.5,23.14,-24.57,-16.27,-8.3,3,18.43,0
15,40.87,50.1,83.63,32.96,493850.0,390270.0,1.0388,-0.0177,-0.1281,-0.2721,-0.4843,-0.0126,48.51,35.86,110.65,35.88,74.77000000000001,7,41.96,1
16,9.7,9.7,9.78,9.6,2430.0,29310.0,0.09,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,9.69,0
17,55.64,59.15,67.1,50.56,121910.0,91240.0,0.9912,0.0518,0.005,0.0141999999999999,-0.0379,0.0013,69.0,54.03,19.14,23.77,-4.629999999999999,1,55.45,1
18,44.48,35.76,60.23,26.1,215520.0,230460.0,0.758,-0.0148,0.1274,0.3911,0.3486,0.6745,61.67,48.18,-4.45,-14.11,9.66,3,42.41,0
19,27.13,21.84,31.14,14.03,8380000.000000001,10050000.0,0.8876999999999999,0.1014,0.0403,0.3122,0.2903,0.9724,34.02,27.43,0.02,-0.23,0.25,8,32.09,1
20,10.07,10.07,10.1,10.0,1890.0,787480.0,0.5528,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,1,10.06,0
