,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion
0,AMRK,67.28,53.07,80.93,25.85,73.04k,87.26k,42.69%
1,SHLM,,,,,,,
2,AAON,76.42,68.76,83.79,59.22,232.58k,172.72k,71.82%
3,ABGI,9.78,9.81,10.69,9.61,14.85k,50.43k,87.06%
4,ASPA,9.83,9.81,10.33,9.57,13.73k,22.73k,62.65%
5,ABVC,3.3206,3.9017,11.6900,1.9500,222.75k,2.37M,0.37%
6,ACEV,9.95,9.95,13.50,9.80,194.97k,226.9k,46.04%
7,ACMR,92.00,89.56,144.81,60.84,232.2k,292.44k,48.74%
8,ADSE,9.94,9.82,10.88,8.52,79.33k,88.69k,68.08%
9,ADTX,1.2087,2.0809,6.7300,0.5130,5.48M,4.96M,4.54%
10,LIDR,5.29,8.25,14.49,4.08,1.23M,2.42M,27.85%
11,AFCG,22.76,22.11,25.50,18.91,294.65k,138.05k,49.37%
12,AGMH,8.9146,10.2806,26.5000,2.6300,203.34k,203.27k,0.14%
13,ALF,3.9924,6.6289,22.5000,2.2000,305.18k,653.97k,2.53%
14,ALJJ,1.2298,1.3336,2.7800,0.9600,953.5k,186.94k,6.25%
15,ALXO,39.02,57.55,91.52,20.31,500.54k,402.59k,88.29%
16,AMCX,40.87,50.10,83.63,32.96,493.85k,390.27k,103.88%
17,AMCI,9.70,9.70,9.78,9.60,2.43k,29.31k,9.00%
18,AMSF,55.64,59.15,67.10,50.56,121.91k,91.24k,99.12%
19,ANIP,44.48,35.76,60.23,26.10,215.52k,230.46k,75.80%
20,APA,27.13,21.84,31.14,14.03,8.38M,10.05M,88.77%
21,APXIU,10.07,10.07,10.10,10.00,1.89k,787.48k,N/A
22,ARKO,9.52,9.61,11.40,7.32,564.05k,372.07k,60.22%
23,ARYE,9.81,9.87,10.16,9.65,27.26k,17.18k,N/A
24,ARYD,9.95,10.25,12.38,9.73,12.04k,88.85k,96.25%
25,ASV,,,,,,,
26,ATIF,3.6258,2.1795,5.6500,0.4210,17.89k,46.95k,0.75%
27,ATRI,726.85,668.17,805.62,579.96,6.86k,4.54k,66.84%
28,AVRO,4.6336,7.4683,20.0700,3.1700,387.07k,367.03k,86.52%
29,AYRO,2.4234,4.0975,11.5000,1.4900,1.62M,1.26M,22.62%
30,AADI,24.61,12.21,32.99,0.95,335.7k,183.11k,N/A
31,ABCL,15.07,20.66,55.22,12.20,2.34M,1.92M,41.82%
32,ABER,,,,,,,
33,ABBK,,,,,,,
34,ABLX,,,,,,,
35,AXAS,1.2754,2.1529,4.9900,0.5500,64.67k,45.23k,14.13%
36,ABXA,,,,,,,
37,ACTG,5.29,5.84,9.09,3.78,324.36k,360.32k,68.14%
38,ACHC,59.77,61.58,68.65,48.62,375.58k,418.45k,101.89%
39,AXDX,5.48,6.80,15.60,4.01,414.66k,448.02k,39.43%
40,ACCL,,,,,,,
41,AUSA,,,,,,,
42,LEND,,,,,,,
43,ENERU,10.20,10.20,11.40,10.05,3.3k,253.36k,0.00%
44,ACBAU,10.49,10.43,11.31,9.76,N/A,22,23.97%
45,ACRX,0.7094,1.1206,2.9400,0.4600,1.62M,1.04M,34.86%
46,ACER,2.2694,2.6193,5.3900,1.6800,44.34k,304.99k,30.30%
47,AVHI,9.86,9.86,9.90,9.82,9.58k,67.08k,N/A
48,ACHN,0.4196,0.4214,0.5200,0.0600,105,1.74k,N/A
49,ACKIT,10.08,10.00,10.44,9.84,100.94k,23.36k,9.62%
50,ACRS,14.66,18.34,30.38,5.65,323.89k,385.54k,93.62%
51,ACOR,3.2498,4.0741,8.6600,2.2500,115.21k,150.53k,28.62%
52,SQZZ,,,,,,,
53,ATVI,66.39,82.83,104.53,56.40,11.12M,11.33M,87.89%
54,ATY,4.3334,8.2331,26.1700,2.9300,317.06k,397.06k,10.86%
55,ACXP,4.7952,5.0210,8.7400,3.7100,38.63k,54.18k,0.35%
56,ADGI,25.32,30.65,78.82,5.57,32.72M,7.15M,N/A
57,ADMP,0.8608,0.9415,2.3400,0.4900,1.3M,6.13M,11.05%
58,ADPT,30.25,35.57,71.25,24.01,751.71k,693.62k,82.98%
59,ADCT,24.09,24.48,34.48,18.33,180.89k,159.38k,43.36%
60,ADEX,9.81,9.72,10.24,9.44,78.77k,155.12k,53.06%
61,ADIL,2.9946,2.9545,5.0800,1.6800,135.84k,245.25k,9.28%
62,ADMA,1.3576,1.5163,3.1110,1.0100,2.63M,2.56M,41.88%
63,ADRO,,,,,,,
64,ABAT,,,,,,,
65,ADES,6.76,6.52,8.41,4.60,77.12k,121.06k,50.36%
66,AITPU,,,,,,,
67,ADVNA,,,,,,,
68,ADV,8.13,10.07,13.78,6.94,455.49k,369.21k,27.29%
69,ADXS,0.3924,0.4804,1.5700,0.1210,5.5M,5M,11.51%
70,ADVM,1.9820,3.6903,14.7900,1.6900,1.28M,1.97M,73.77%
71,AGLE,5.9682,6.9309,8.7900,3.4700,253.06k,288.99k,92.41%
72,AMTX,17.52,15.24,27.44,2.54,1M,927.94k,66.96%
73,ARBG,9.79,9.76,10.75,9.43,15.68k,47.05k,83.26%
74,AERI,10.12,14.38,21.30,7.04,1.45M,1.07M,106.61%
75,AERC,22.91,22.91,117.35,8.22,7.77M,5.54M,0.00%
76,ARPO,,,,,,,
77,AEZS,0.5066,0.7585,3.6200,0.3600,1.17M,2M,3.91%
78,AEMD,2.7198,3.2566,12.4900,1.4500,181.71k,275.5k,18.14%
79,AFMD,6.28,7.34,11.74,4.78,838.41k,1.8M,64.62%
80,AFRM,132.63,90.99,176.65,46.50,9M,12.81M,71.95%
81,AFYA,15.30,20.74,28.23,12.62,244.67k,171.68k,66.13%
82,AGEN,3.6876,4.4592,6.7900,2.5000,5.79M,4.45M,50.46%
83,AGGR,9.74,9.71,9.95,9.58,38.49k,30.13k,53.51%
84,AGIL,8.83,10.00,36.13,4.80,277.33k,119.27k,39.60%
85,AGIO,39.39,48.37,62.16,29.21,831.08k,562.78k,108.24%
86,AGRI,2.2455,2.5059,8.4500,1.7510,103.6k,4.86M,N/A
87,AGFY,15.82,16.05,35.94,6.81,974.97k,832.73k,22.93%
