Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Symbol
67.28,53.07,80.93,25.85,73040.0,87260.0,0.4269,-0.0025,-0.1778,0.0116999999999999,0.3084,1.4259,91.0,59.31,26.02,51.01,-24.99,Financial Services,AMRK
76.42,68.76,83.79,59.22,232580.0,172720.0,0.7182,0.0231,0.0279,0.2026,0.2735,0.1946999999999999,71.0,79.69,15.58,20.61,-5.029999999999999,Industrials,AAON
9.78,9.81,10.69,9.61,14850.0,50430.0,0.8706,-0.0111,0.002,0.0103,-0.0111,0.0353,27.67,9.83,-0.22,-0.21,-0.010000000000000009,Financial Services,ABGI
9.83,9.81,10.33,9.57,13730.0,22730.0,0.6265,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Financial Services,ASPA
3.3206,3.9017,11.69,1.95,222750.0,2370000.0,0.0037,-0.0867,0.1118,0.4612,-0.2910999999999999,-0.3207,9.5,3.44,-1.81,-1.97,0.15999999999999992,Healthcare,ABVC
9.95,9.95,13.5,9.8,194970.0,226900.0,0.4604,0.0,0.002,0.005,0.0005,-0.0187,27.67,9.97,22.29,-1.04,23.33,Financial Services,ACEV
92.0,89.56,144.81,60.84,232200.0,292440.0,0.4874,0.0774,-0.0688,-0.2232999999999999,-0.2114,0.2001,131.17,83.83,10.15,6.57,3.58,Technology,ACMR
9.94,9.82,10.88,8.52,79330.0,88690.0,0.6808,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,Industrials,ADSE
1.2087,2.0809,6.73,0.513,5480000.0,4960000.0,0.0454,-0.109,-0.5254,-0.6543000000000001,-0.7837999999999999,-0.7383,6.0,0.55,-9.76,-6.18,-3.58,Healthcare,ADTX
5.29,8.25,14.49,4.08,1230000.0,2420000.0,0.2785,-0.1267,-0.0039,-0.1207,-0.4845,0.0353,14.67,5.19,-17.39,-11.07,-6.32,Consumer Cyclical,LIDR
22.76,22.11,25.5,18.91,294650.0,138050.0,0.4936999999999999,0.1051,0.0206,0.0684,0.1046,0.0353,27.79,22.61,0.02,-0.23,0.25,Real Estate,AFCG
8.9146,10.2806,26.5,2.63,203340.0,203270.0,0.0014,-0.3167999999999999,-0.711,-0.6849,-0.7356,-0.8188,27.67,2.64,-0.51,-0.66,0.15000000000000002,Technology,AGMH
3.9924,6.6289,22.5,2.2,305180.0,653970.0,0.0253,-0.0678,-0.4568,-0.6798000000000001,-0.8504999999999999,0.0353,27.67,2.22,-4.69,-3.18,-1.5100000000000002,Technology,ALF
1.2298,1.3336,2.78,0.96,953500.0,186940.0,0.0625,0.5339,0.4836,0.7075,0.0,0.7238,27.67,1.82,0.02,-3.5,3.52,Industrials,ALJJ
39.02,57.55,91.52,20.31,500540.0,402590.0,0.8829,-0.0428,-0.3361,-0.7011,-0.5989,-0.7401000000000001,71.5,23.14,-24.57,-16.27,-8.3,Healthcare,ALXO
40.87,50.1,83.63,32.96,493850.0,390270.0,1.0388,-0.0177,-0.1281,-0.2721,-0.4843,-0.0126,48.51,35.86,110.65,35.88,74.77000000000001,Communication Services,AMCX
