Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector,Symbol,Current_Stock_Price/Avg_50
67.28,53.07,80.93,25.85,73040.0,87260.0,0.4269,-0.0025,-0.1778,0.011699999999999999,0.3084,1.4259,91.0,59.31,26.02,51.01,Financial Services,AMRK,0.8815398335315101
76.42,68.76,83.79,59.22,232580.0,172720.0,0.7182,0.0231,0.0279,0.2026,0.2735,0.19469999999999998,71.0,79.69,15.58,20.61,Industrials,AAON,1.0427898455901596
9.78,9.81,10.69,9.61,14850.0,50430.0,0.8706,-0.0111,0.002,0.0103,-0.0111,0.0353,27.67,9.83,-0.22,-0.21,Financial Services,ABGI,1.0051124744376279
9.83,9.81,10.33,9.57,13730.0,22730.0,0.6265,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ASPA,1.2441505595116988
3.3206,3.9017,11.69,1.95,222750.0,2370000.0,0.0037,-0.0867,0.1118,0.4612,-0.29109999999999997,-0.3207,9.5,3.44,-1.81,-1.97,Healthcare,ABVC,1.0359573571041378
9.95,9.95,13.5,9.8,194970.0,226900.0,0.4604,0.0,0.002,0.005,0.0005,-0.0187,27.67,9.97,22.29,-1.04,Financial Services,ACEV,1.0020100502512563
92.0,89.56,144.81,60.84,232200.0,292440.0,0.4874,0.0774,-0.0688,-0.22329999999999997,-0.2114,0.20010000000000003,131.17,83.83,10.15,6.57,Technology,ACMR,0.9111956521739131
9.94,9.82,10.88,8.52,79330.0,88690.0,0.6808,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Industrials,ADSE,1.2303822937625755
1.2087,2.0809,6.73,0.513,5480000.0,4960000.0,0.0454,-0.109,-0.5254,-0.6543000000000001,-0.7837999999999999,-0.7383,6.0,0.55,-9.76,-6.18,Healthcare,ADTX,0.45503433440886903
5.29,8.25,14.49,4.08,1230000.0,2420000.0,0.2785,-0.1267,-0.0039000000000000003,-0.1207,-0.48450000000000004,0.0353,14.67,5.19,-17.39,-11.07,Consumer Cyclical,LIDR,0.9810964083175804
22.76,22.11,25.5,18.91,294650.0,138050.0,0.49369999999999997,0.1051,0.0206,0.0684,0.10460000000000001,0.0353,27.79,22.61,0.02,-0.23,Real Estate,AFCG,0.993409490333919
8.9146,10.2806,26.5,2.63,203340.0,203270.0,0.0014000000000000002,-0.31679999999999997,-0.711,-0.6849,-0.7356,-0.8188,27.67,2.64,-0.51,-0.66,Technology,AGMH,0.2961434052004577
3.9924,6.6289,22.5,2.2,305180.0,653970.0,0.0253,-0.0678,-0.4568,-0.6798000000000001,-0.8504999999999999,0.0353,27.67,2.22,-4.69,-3.18,Technology,ALF,0.5560565073639916
1.2298,1.3336,2.78,0.96,953500.0,186940.0,0.0625,0.5339,0.4836,0.7075,0.0,0.7238,27.67,1.82,0.02,-3.5,Industrials,ALJJ,1.4799154334038056
39.02,57.55,91.52,20.31,500540.0,402590.0,0.8829,-0.042800000000000005,-0.3361,-0.7011,-0.5989,-0.7401000000000001,71.5,23.14,-24.57,-16.27,Healthcare,ALXO,0.593029215786776
40.87,50.1,83.63,32.96,493850.0,390270.0,1.0388,-0.0177,-0.1281,-0.2721,-0.4843,-0.0126,48.51,35.86,110.65,35.88,Communication Services,AMCX,0.8774161977000245
9.7,9.7,9.78,9.6,2430.0,29310.0,0.09,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,AMCI,1.2608247422680414
55.64,59.15,67.1,50.56,121910.0,91240.0,0.9912000000000001,0.0518,0.005,0.014199999999999999,-0.0379,0.0013,69.0,54.03,19.14,23.77,Financial Services,AMSF,0.9710639827462257
44.48,35.76,60.23,26.1,215520.0,230460.0,0.758,-0.0148,0.1274,0.3911,0.3486,0.6745,61.67,48.18,-4.45,-14.11,Healthcare,ANIP,1.08318345323741
27.13,21.84,31.14,14.03,8380000.000000001,10050000.0,0.8876999999999999,0.1014,0.0403,0.3122,0.2903,0.9723999999999999,34.02,27.43,0.02,-0.23,Energy,APA,1.0110578695171397
10.07,10.07,10.1,10.0,1890.0,787480.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,APXIU,1.214498510427011
9.52,9.61,11.4,7.32,564050.0,372070.0,0.6022,0.024900000000000002,-0.1119,-0.1602,-0.0588,0.1076,13.25,8.85,35.53,25.52,Consumer Defensive,ARKO,0.9296218487394958
9.81,9.87,10.16,9.65,27260.0,17180.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ARYE,1.2466870540265036
9.95,10.25,12.38,9.73,12040.0,88850.0,0.9625,0.0051,-0.006999999999999999,-0.0086,-0.0499,0.0353,27.67,9.81,-5.09,-0.16,Financial Services,ARYD,0.9859296482412061
3.6258,2.1795,5.65,0.421,17890.0,46950.0,0.0075,0.0833,-0.08960000000000001,-0.1875,-0.26789999999999997,-0.3868,27.67,3.08,0.02,-0.23,Financial Services,ATIF,0.8494677036791881
726.85,668.17,805.62,579.96,6860.0,4540.0,0.6684,-0.0060999999999999995,-0.0231,-0.0113,0.1204,0.09050000000000001,27.67,701.0,8.28,8.92,Healthcare,ATRI,0.964435578179817
4.6336,7.4683,20.07,3.17,387070.0,367030.0,0.8652,-0.048499999999999995,-0.0605,-0.32789999999999997,-0.5804,-0.7386,22.88,3.88,-32.61,-31.39,Healthcare,AVRO,0.8373618784530386
2.4234,4.0975,11.5,1.49,1620000.0,1260000.0,0.2262,-0.1522,-0.3097,-0.5215,-0.6803,-0.7551000000000001,5.0,1.74,-12.0,-7.66,Consumer Cyclical,AYRO,0.7179995048279277
24.61,12.21,32.99,0.95,335700.0,183110.0,0.5528,-0.049100000000000005,0.08070000000000001,-0.19519999999999998,-0.06,0.6548999999999999,50.0,24.68,-87.09,-4.41,Healthcare,AADI,1.0028443722064202
15.07,20.66,55.22,12.2,2340000.0,1920000.0,0.4182,-0.1315,-0.0305,-0.29719999999999996,-0.3786,-0.6495000000000001,38.88,14.47,-21.38,-2.32,Healthcare,ABCL,0.960185799601858
1.2754,2.1529,4.99,0.55,64670.0,45230.0,0.1413,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Energy,AXAS,9.589148502430609
5.29,5.84,9.09,3.78,324360.0,360320.0,0.6814,0.0403,0.015700000000000002,-0.26289999999999997,-0.23670000000000002,0.2836,8.0,5.32,38.35,6.15,Industrials,ACTG,1.005671077504726
59.77,61.58,68.65,48.62,375580.0,418450.0,1.0189,0.0279,0.0558,-0.0699,-0.047599999999999996,0.2306,75.14,60.72,66.13,44.51,Healthcare,ACHC,1.0158942613351178
5.48,6.8,15.6,4.01,414660.0,448020.0,0.3943,-0.0482,-0.004,-0.1697,-0.3871,-0.3251,9.33,5.02,-8.99,-21.67,Healthcare,AXDX,0.9160583941605838
10.2,10.2,11.4,10.05,3300.0,253360.0,0.0,0.0039000000000000003,0.0079,-0.058899999999999994,-0.1115,0.0353,27.67,10.25,0.02,-0.23,Financial Services,ENERU,1.0049019607843137
10.49,10.43,11.31,9.76,226075.0,22.0,0.2397,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ACBAU,1.1658722592945663
