,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
0,-0.25%,-17.78%,1.17%,30.84%,142.59%,91.00,59.31
1,,,,,,,
2,2.31%,2.79%,20.26%,27.35%,19.47%,71.00,79.69
3,-1.11%,0.20%,1.03%,-1.11%,-,-,9.83
4,,,,,,,
5,-8.67%,11.18%,46.12%,-29.11%,-32.07%,9.50,3.44
6,0.00%,0.20%,0.50%,0.05%,-1.87%,-,9.97
7,7.74%,-6.88%,-22.33%,-21.14%,20.01%,131.17,83.83
8,,,,,,,
9,-10.90%,-52.54%,-65.43%,-78.38%,-73.83%,6.00,0.55
10,-12.67%,-0.39%,-12.07%,-48.45%,-,14.67,5.19
11,10.51%,2.06%,6.84%,10.46%,-,27.79,22.61
12,-31.68%,-71.10%,-68.49%,-73.56%,-81.88%,-,2.64
13,-6.78%,-45.68%,-67.98%,-85.05%,-,-,2.22
14,53.39%,48.36%,70.75%,0.00%,72.38%,-,1.82
15,-4.28%,-33.61%,-70.11%,-59.89%,-74.01%,71.50,23.14
16,-1.77%,-12.81%,-27.21%,-48.43%,-1.26%,48.51,35.86
17,,,,,,,
18,5.18%,0.50%,1.42%,-3.79%,0.13%,69.00,54.03
19,-1.48%,12.74%,39.11%,34.86%,67.45%,61.67,48.18
20,10.14%,4.03%,31.22%,29.03%,97.24%,34.02,27.43
21,,,,,,,
22,2.49%,-11.19%,-16.02%,-5.88%,10.76%,13.25,8.85
23,,,,,,,
24,0.51%,-0.70%,-0.86%,-4.99%,-,-,9.81
25,,,,,,,
26,8.33%,-8.96%,-18.75%,-26.79%,-38.68%,-,3.08
27,-0.61%,-2.31%,-1.13%,12.04%,9.05%,-,701.00
28,-4.85%,-6.05%,-32.79%,-58.04%,-73.86%,22.88,3.88
29,-15.22%,-30.97%,-52.15%,-68.03%,-75.51%,5.00,1.74
30,-4.91%,8.07%,-19.52%,-6.00%,65.49%,50.00,24.68
31,-13.15%,-3.05%,-29.72%,-37.86%,-64.95%,38.88,14.47
32,,,,,,,
33,,,,,,,
34,,,,,,,
