,Last_Q_Net,Prev_Q_Net
0,26.02,51.01
1,,
2,15.58,20.61
3,-0.22,-0.21
4,,
5,-1.81,-1.97
6,22.29,-1.04
7,10.15,6.57
8,,
9,-9.76,-6.18
10,-17.39,-11.07
11,,
12,-0.51,-0.66
13,-4.69,-3.18
14,,-3.50
15,-24.57,-16.27
16,110.65,35.88
17,,
18,19.14,23.77
19,-4.45,-14.11
20,,
21,,
22,35.53,25.52
23,,
24,-5.09,-0.16
25,,
26,,
27,8.28,8.92
28,-32.61,-31.39
29,-12.00,-7.66
30,-87.09,-4.41
31,-21.38,-2.32
32,,
33,,
34,,
35,,
36,,
37,38.35,6.15
38,66.13,44.51
39,-8.99,-21.67
40,,
41,,
42,,
43,,
44,,
45,-8.38,-9.85
46,-3.27,-3.07
47,,
48,,
49,-0.24,-0.35
50,-21.15,-18.16
51,-27.07,-22.86
52,,
53,639.00,876.00
54,,
55,-4.64,-4.00
56,-60.38,-44.67
57,-12.36,-9.31
58,-55.90,-49.30
59,-71.55,-72.57
60,-0.42,-0.12
61,-4.32,-4.44
62,-17.71,-18.91
63,,
64,,
65,24.25,16.59
66,,
67,,
68,23.31,6.12
69,-3.33,-5.11
70,-38.36,-44.33
71,-20.31,-6.83
72,-17.60,-10.56
73,,
74,-39.69,-38.69
75,,
76,,
77,,
78,-2.01,-2.10
79,-17.09,-18.75
80,-306.62,-153.21
81,53.03,17.24
82,178.55,-83.29
83,,
84,-4.99,0.93
85,-88.77,-86.22
86,-1.82,-1.21
87,-32.26,-21.62
88,,
89,,
90,,
91,,
92,-3.07,-2.61
93,,
94,-59.54,-83.04
95,-24.33,-28.93
96,-12.85,-10.12
97,,
98,,
99,13.54,14.74
100,,
101,57.09,-36.42
102,-15.79,-14.94
103,17.50,17.50
104,288.20,203.60
105,180.97,199.71
106,-33.12,-29.82
107,,
108,-11.22,-11.38
109,-0.05,-1.35
110,-62.73,-57.21
111,,
112,,
113,-12.69,-13.97
114,,
115,74.30,-2.94
116,-0.98,1.55
117,-45.51,-37.59
118,,
119,16.18,21.93
120,,
121,,
122,,
123,,
124,23.42,19.54
125,"18,936.00","18,525.00"
126,-43.03,-38.20
127,,
128,-7.11,-66.65
129,,
130,-8.11,-13.65
131,-6.75,-5.54
132,-33.51,-24.83
133,-18.27,-18.48
134,-3.13,8.39
135,,
136,5.24,11.66
137,"3,156.00","7,778.00"
138,0.76,-7.16
139,,
140,45.01,80.15
141,,
142,409.90,345.18
143,17.11,17.13
144,169.00,19.00
145,,
146,,
147,,
148,,
149,51.05,227.98
150,4.58,3.46
151,,
152,,
153,3.31,2.95
154,94.60,66.00
155,2.03,2.98
156,,
157,9.12,9.13
158,"1,884.00",464.00
159,-50.29,-51.23
160,180.85,125.81
161,-0.59,-0.47
162,,
163,-32.94,15.38
164,,
165,,
166,,
167,15.74,43.50
168,-1.55,-29.11
